Unnamed: 0,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
43,524369,en,The Many Saints of Newark,0.23050364312174212,2021-09-22,0.7157894736842104,201,"['Crime', 'Drama']","Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark, N.J., history, becoming a man just as rival gangsters start to rise up and challenge the all-powerful DiMeo crime family. Caught up in the changing times is the uncle he idolizes, Dickie Moltisanti, whose influence over his nephew will help shape the impressionable teenager into the all-powerful mob boss, Tony Soprano.",0.0975695133695119,120.0,Who made Tony Soprano?
44,777620,en,Caged,0.18443559105290772,2021-01-26,0.6947368421052631,39,"['Thriller', 'Horror']","An African American male is imprisoned and placed in solitary confinement after being found guilty of murdering his wife, as he's haunted by internal demons and his dead wife, and pushed to the breaking point by an abusive female guard.",0.0,81.0,There is no getting out.
45,831405,en,Injustice,0.21874126137788236,2021-10-09,0.8421052631578947,339,"['Animation', 'Science Fiction', 'Fantasy', 'Action']","When Lois Lane is killed, an unhinged Superman decides to take control of the Earth. Determined to stop him, Batman creates a team of freedom-fighting heroes. But when superheroes go to war, can the world survive?",0.0,78.0,
46,681887,en,Cosmic Sin,0.19532450333206605,2021-03-12,0.4631578947368421,363,['Science Fiction'],"In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late.",0.0,88.0,First contact has been made. It's war.
48,637534,fr,BAC Nord,0.18857435958664157,2021-08-18,0.8105263157894737,483,"['Crime', 'Thriller']","A police brigade working in the dangerous northern neighborhoods of Marseille, where the level of crime is higher than anywhere else in France.",0.0,105.0,
49,460465,en,Mortal Kombat,0.19202307153337878,2021-04-07,0.7684210526315789,4000,"['Action', 'Fantasy', 'Adventure']","Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",0.7019351883553924,110.0,Get over here.
50,774021,en,Demonic,0.16358504230671345,2021-07-29,0.5157894736842106,74,"['Horror', 'Thriller']",A young woman unleashes terrifying demons when supernatural forces at the root of a decades-old rift between mother and daughter are ruthlessly revealed.,0.0,104.0,"It's not a dream, it's not reality."
51,859041,zh,疯狂的拳头,0.1955923568279862,2017-05-25,0.7999999999999999,37,['Action'],"After an opponent dies mid-match, a prominent MMA champion swore never to fight again and retired to run his family's company. But when his best friend dies under suspicious circumstances, he has no choice but to step back in the ring.",0.0,97.0,
52,662708,ja,劇場版ポケットモンスター ココ,0.1979174194318678,2020-12-25,0.7684210526315789,59,"['Animation', 'Adventure']","In the Forest of Okoya, Koko is a feral child who has been raised as a Pokémon by the Mythical Pokémon Zarude. Koko has grown up never doubting that he is a Pokémon even though he can't really use any sort of moves. Ash Ketchum and Pikachu meet Koko and help him protect the Great Tree from the crooked scientist Dr. Zed.",0.0,98.0,
53,588228,en,The Tomorrow War,0.17016905404513763,2021-07-02,0.8526315789473683,4522,"['Action', 'Science Fiction', 'Adventure']","The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",0.0,138.0,The fight for tomorrow begins today.
54,581726,en,Infinite,0.166748619886826,2021-09-09,0.7263157894736842,553,"['Science Fiction', 'Action', 'Thriller']","Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",0.0,106.0,Many lives. Unlimited potential.
55,631843,en,Old,0.16552953300803402,2021-07-21,0.7052631578947368,1593,"['Thriller', 'Mystery', 'Horror']",A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,0.7514645708636045,108.0,It's only a matter of time.
56,882206,en,LOL Surprise: The Movie,0.16040928956769543,2021-10-08,0.7894736842105263,31,"['Animation', 'Family']",Dazzling doll sisters Queen Bee and Royal Bee make their first movie with help from their fashionable friends in this one-of-a-kind magical adventure.,0.0,0.0,
57,588921,en,Ainbo: Spirit of the Amazon,0.15500351901367074,2021-02-09,0.7578947368421053,220,"['Adventure', 'Animation', 'Family', 'Fantasy']","An epic journey of a young hero and her Spirit Guides, 'Dillo' a cute and humorous armadillo and ""Vaca"" a goofy oversized tapir, who embark on a quest to save their home in the spectacular Amazon Rainforest.",0.0,84.0,
58,726684,fr,"Miraculous World: Shanghai, la légende de Ladydragon",0.16816997150227322,2021-05-15,0.8421052631578947,362,"['Animation', 'Comedy', 'Family', 'Adventure']","On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",0.0,52.0,
59,375211,en,Marvel Knights: Eternals,0.16640850093159604,2014-09-16,0.5894736842105263,5,['Animation'],"You are thousands of years old. You have amazing powers. You have watched civilizations rise and fall. So why does no one remember any of this? Best-selling author, Neil Gaiman (Marvel: 1602) is joined by superstar artist, John Romita. Jr. (Amazing Spider-Man), to bring you the extraordinary tale of The Eternals. Medical student Mark Curry's world is turned upside-down when he meets Ike Harris, a man who believes that he is part of a centuries-old race of super-powered beings put here on Earth by aliens to preserve and safeguard the planet — and even crazier, tried to convince Mark that he is one too.",0.0,118.0,
61,634649,en,Spider-Man: No Way Home,0.1863321666127294,2021-12-15,0.0,0,"['Action', 'Adventure', 'Science Fiction']","Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a Super Hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",0.0,0.0,
63,706972,en,Narco Sub,0.144758319168256,2021-01-22,0.7473684210526315,59,"['Action', 'Drama', 'Crime']","A man will become a criminal to save his family.  Director: Shawn Welling  Writer: Derek H. Potts  Stars: Tom Vera, Tom Sizemore, Lee Majors |",0.0,93.0,A man will become a criminal to save his family.
64,669671,en,Night Teeth,0.14179504258949133,2021-10-20,0.7157894736842104,299,"['Horror', 'Thriller', 'Action']","A college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across LA. But when he uncovers their bloodthirsty intentions - and their dangerous, shadowy underworld - he must fight to stay alive.",0.0,107.0,Paint the town red.
65,503736,en,Army of the Dead,0.14088033468333588,2021-05-14,0.6736842105263158,2514,"['Action', 'Adventure', 'Crime', 'Horror']","Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",0.006549076706967727,148.0,Survivors take all.
67,619297,en,Sweet Girl,0.13900928768250956,2021-08-18,0.7263157894736842,697,['Action'],"A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left, his daughter.",0.0,110.0,Family fights as one.
69,767304,en,Redemption Day,0.13901989185316915,2021-01-08,0.7052631578947368,150,['Action'],"Having just returned home, decorated U.S. Marine Captain Brad Paxton's wife, Kate, is kidnapped by a terrorist group while working in Morocco. He is forced back into action for a daring and deadly operation to save the woman he loves.",0.0,100.0,Taking his wife was their last mistake.
70,525660,cn,真·三国无双,0.14380590754419975,2021-04-29,0.7052631578947368,71,"['Action', 'Adventure', 'Fantasy']","Warlords, warriors and statesmen wage a battle for supremacy in this fantasy tale based on the hit video games and the ""Romance of the Three Kingdoms.""",0.0,117.0,
71,840756,es,Mi otra yo,0.19433085326655583,2021-06-15,0.6631578947368421,3,['Comedy'],A controversial TV host and comedian who has built his career on sexist humor is forced to assume a woman's identity to elude a relentless drug dealer.,0.0,89.0,
72,482373,en,Don't Breathe 2,0.14134495445705075,2021-08-12,0.8105263157894737,1114,"['Thriller', 'Horror']","The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",0.37783134847890726,98.0,Bad things happen to bad people.
74,522402,en,Finch,0.21350319381910385,2021-11-04,0.8421052631578947,522,"['Science Fiction', 'Drama', 'Adventure']","On a post-apocalyptic Earth, a robot, built to protect the life of his dying creator's beloved dog, learns about life, love, friendship, and what it means to be human.",0.0,115.0,
75,453354,fr,Ava,0.14172749009491908,2017-06-21,0.631578947368421,121,['Drama'],"Ava, 13, is spending the summer on the Atlantic coast when she learns that she will lose her sight sooner than expected. Her mother decides to act as if everything were normal so as to spend their best summer ever. Ava confronts the problem in her own way. She steals a big black dog that belongs to a young man on the run...",0.0,106.0,
76,725273,en,Solitary,0.13395816772498909,2020-08-31,0.6105263157894736,59,['Science Fiction'],"A man wakes up inside a room to discover he's a prisoner sent into space to form Earth's first colony, and worse - his cell mate Alana is hell bent on destroying everything.",0.0,89.0,The greatest punishment imaginable.
77,685274,ja,機動戦士ガンダム 閃光のハサウェイ,0.1434139459768562,2021-06-11,0.8526315789473683,57,"['Animation', 'Action', 'Drama', 'Science Fiction']","After Char's rebellion, Hathaway Noa leads an insurgency against Earth Federation, but meeting an enemy officer and a mysterious woman alters his fate.",0.0,96.0,Char's ideals and Amuro's passion... the heir of their wills...
78,859860,en,Catch the Bullet,0.140357588344524,2021-09-10,0.5894736842105263,67,"['Western', 'Action']","U.S. marshal Britt MacMasters returns from a mission to find his father wounded and his son kidnapped by the outlaw Jed Blake. Hot on their trail, Britt forms a posse with a gunslinging deputy and a stoic Pawnee tracker. But Jed and Britt tread dangerously close to the Red Desert’s Sioux territory.",0.0,89.0,The sun never sets on vengeance.
79,825997,en,Rogue Hostage,0.13133226087202415,2021-06-11,0.6736842105263158,101,"['Action', 'Thriller']",A former Marine races against time to save a group of hostages -- including his young daughter and a congressman — when armed militants take over his stepfather's store.,0.0,94.0,Free the hostages. Or everyone dies.
80,755812,fr,"Miraculous World : New York, les héros unis",0.12572736755783592,2020-11-21,0.8736842105263158,812,"['Animation', 'Family', 'Comedy', 'Adventure', 'TV Movie']","During a school field trip, Ladybug and Cat Noir meet the American superheroes, whom they have to save from an akumatised super-villain. They discover that Miraculous exist in the United States too.",0.0,55.0,
81,719164,en,Women,0.08391237341762209,2021-04-08,0.6421052631578946,14,['Thriller'],A small town detective while investigating the disappearance of a local woman comes across an unassuming Sociology professor who is hiding a secret life.,0.0,90.0,Don't Scream. Don't Run. Survive.
82,602223,en,The Forever Purge,0.12364620087912503,2021-06-30,0.7789473684210526,1396,"['Horror', 'Action', 'Thriller']",All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,0.6463571793556512,103.0,The rules are broken.
83,595743,en,SAS: Red Notice,0.1266169396520575,2021-08-11,0.631578947368421,259,"['Drama', 'Action', 'Thriller']","An off-duty SAS soldier, Tom Buckingham, must thwart a terror attack on a train running through the Channel Tunnel. As the action escalates on the train, events transpire in the corridors of power that may make the difference as to whether Buckingham and the civilian passengers make it out of the tunnel alive.",0.0,120.0,
84,741636,en,Bloodthirsty,0.12889565810268608,2021-04-23,0.6947368421052631,16,['Horror'],"When indie singer Grey struggles to write her sophomore album, she teams up with a mysterious producer at his secluded cabin. Though their bond strengthens her music, it also starts to irreparably alter Grey’s body and mind.",0.0,82.0,Ambition can be killer.
86,641501,fr,Comment je suis devenu super-héros,0.12328290984726853,2020-11-19,0.6421052631578946,292,"['Science Fiction', 'Adventure', 'Mystery', 'Action', 'Thriller', 'Fantasy', 'Comedy']","Paris 2020. While superheroes have assimilated into the Parisian society, they discover a new drug that gives themselves personal superpowers to mere mortals. Lieutenants Moreau and Schaltzmann are investigating the case with the support of two ex-superheroes, Monte Carlo and Callista. They'll do whatever it takes to dismantle the traffic. But Moreau's past resurfaces, and the investigation becomes more complicated.",0.0,101.0,
